"meta_id","config","t","rect","imct"
41,300,0,3.87831714761e-05,
41,300,1,4.2163010221e-05,
41,300,2,3.66972926713e-05,
41,300,3,3.42099701811e-05,
41,300,4,3.26236076944e-05,
41,300,5,3.01247546304e-05,
41,300,6,2.73694186035e-05,
41,300,7,2.51180172199e-05,
41,300,8,2.3156617317e-05,
41,300,9,2.12226423173e-05,
41,300,10,1.98088655452e-05,
41,300,11,1.87898131117e-05,
41,300,12,1.78788050107e-05,
41,300,13,1.6901842173e-05,
41,300,14,1.57515132742e-05,
41,300,15,1.47317814481e-05,
41,300,16,1.37807392093e-05,
41,300,17,1.27852626974e-05,
41,300,18,1.17636227515e-05,
41,300,19,1.08175618152e-05,
41,300,20,1.01392579381e-05,
41,300,21,9.60017223406e-06,
41,300,22,9.18785735848e-06,
41,300,23,8.92044408829e-06,
41,300,24,8.73633416631e-06,
41,300,25,8.38037976791e-06,
41,300,26,7.95668256615e-06,
41,300,27,7.67165420257e-06,
41,300,28,7.50832441554e-06,
41,300,29,7.32711714591e-06,
41,300,30,7.111582363e-06,
41,300,31,6.90921888236e-06,
41,300,32,6.81253732182e-06,
41,300,33,6.71104999128e-06,
41,300,34,6.57587725073e-06,
41,300,35,6.53313145449e-06,
41,300,36,6.61905187371e-06,
41,300,37,6.77373236613e-06,
41,300,38,7.0567111834e-06,
41,300,39,7.39686629458e-06,
41,300,40,7.76232354838e-06,
41,300,41,8.1364187281e-06,
41,300,42,8.57867416926e-06,
41,300,43,9.13658459467e-06,
41,300,44,9.7873089544e-06,
41,300,45,1.05042881842e-05,
41,300,46,1.11353119792e-05,
41,300,47,1.18055613711e-05,
41,300,48,1.25421529447e-05,
41,300,49,1.31980668812e-05,
41,300,50,1.39524527185e-05,
41,300,51,1.51084650497e-05,
41,300,52,1.62721389643e-05,
41,300,53,1.73988337338e-05,
41,300,54,1.89402544493e-05,
41,300,55,2.05375690712e-05,
41,300,56,2.23995502893e-05,
41,300,57,2.45966166403e-05,
41,300,58,2.68395724561e-05,
41,300,59,2.93172251986e-05,
41,300,60,3.16916884913e-05,
41,300,61,3.36909288308e-05,
41,300,62,3.66864333046e-05,
41,300,63,4.27479280916e-05,
41,305,0,3.8949190639e-05,
41,305,1,4.4320942834e-05,
41,305,2,3.93824921048e-05,
41,305,3,3.66369313269e-05,
41,305,4,3.50915470335e-05,
41,305,5,3.38069767167e-05,
41,305,6,3.14099343086e-05,
41,305,7,2.84460038529e-05,
41,305,8,2.61189434241e-05,
41,305,9,2.42829319177e-05,
41,305,10,2.24473933486e-05,
41,305,11,2.07284119824e-05,
41,305,12,1.90286355064e-05,
41,305,13,1.7351752831e-05,
41,305,14,1.60990675795e-05,
41,305,15,1.50241612573e-05,
41,305,16,1.40674237628e-05,
41,305,17,1.31419765239e-05,
41,305,18,1.25225442389e-05,
41,305,19,1.18357274914e-05,
41,305,20,1.12666275527e-05,
41,305,21,1.06315683297e-05,
41,305,22,9.93468438537e-06,
41,305,23,9.39633082453e-06,
41,305,24,8.97371864994e-06,
41,305,25,8.44434089231e-06,
41,305,26,8.01018359198e-06,
41,305,27,7.67884830566e-06,
41,305,28,7.34546074455e-06,
41,305,29,6.9497309596e-06,
41,305,30,6.64036224407e-06,
41,305,31,6.4724213189e-06,
41,305,32,6.42789927952e-06,
41,305,33,6.39935797153e-06,
41,305,34,6.44075907985e-06,
41,305,35,6.50122638035e-06,
41,305,36,6.75587352816e-06,
41,305,37,7.15024134479e-06,
41,305,38,7.48915545046e-06,
41,305,39,7.76338947617e-06,
41,305,40,8.09759421827e-06,
41,305,41,8.46050261316e-06,
41,305,42,8.88818522071e-06,
41,305,43,9.40681184147e-06,
41,305,44,1.00044517239e-05,
41,305,45,1.04910322989e-05,
41,305,46,1.10093169496e-05,
41,305,47,1.18728848975e-05,
41,305,48,1.2830569176e-05,
41,305,49,1.37245997394e-05,
41,305,50,1.479203911e-05,
41,305,51,1.59440187417e-05,
41,305,52,1.73675161932e-05,
41,305,53,1.90523223864e-05,
41,305,54,2.06049680855e-05,
41,305,55,2.23505248869e-05,
41,305,56,2.39724740823e-05,
41,305,57,2.55046270468e-05,
41,305,58,2.68726598733e-05,
41,305,59,2.80050171568e-05,
41,305,60,3.00009469356e-05,
41,305,61,3.23554340866e-05,
41,305,62,3.56348718924e-05,
41,305,63,4.20476717409e-05,
41,310,0,4.16130642407e-05,
41,310,1,4.64357726742e-05,
41,310,2,4.17320079578e-05,
41,310,3,3.86778883694e-05,
41,310,4,3.57982171408e-05,
41,310,5,3.21604893543e-05,
41,310,6,2.8816592021e-05,
41,310,7,2.59771568381e-05,
41,310,8,2.36218493228e-05,
41,310,9,2.12980139622e-05,
41,310,10,1.92101852008e-05,
41,310,11,1.79664511961e-05,
41,310,12,1.68321603269e-05,
41,310,13,1.5751365936e-05,
41,310,14,1.48017088577e-05,
41,310,15,1.38862587846e-05,
41,310,16,1.27242528833e-05,
41,310,17,1.16736509881e-05,
41,310,18,1.07279302028e-05,
41,310,19,9.97408915282e-06,
41,310,20,9.3537819339e-06,
41,310,21,8.73330372997e-06,
41,310,22,8.16422561911e-06,
41,310,23,7.5757329796e-06,
41,310,24,7.07054277882e-06,
41,310,25,6.68979055263e-06,
41,310,26,6.48532841296e-06,
41,310,27,6.3977836362e-06,
41,310,28,6.25176471658e-06,
41,310,29,6.11267159911e-06,
41,310,30,5.97093048782e-06,
41,310,31,5.91142452322e-06,
41,310,32,5.98302904109e-06,
41,310,33,6.05805917075e-06,
41,310,34,6.14755481365e-06,
41,310,35,6.15446197116e-06,
41,310,36,6.22184597887e-06,
41,310,37,6.41927408651e-06,
41,310,38,6.63560012981e-06,
41,310,39,6.80702896716e-06,
41,310,40,7.04529884388e-06,
41,310,41,7.41756412026e-06,
41,310,42,7.87933367974e-06,
41,310,43,8.49635125633e-06,
41,310,44,9.13133681024e-06,
41,310,45,9.74832710199e-06,
41,310,46,1.02910707938e-05,
41,310,47,1.09169404823e-05,
41,310,48,1.16547480502e-05,
41,310,49,1.25062024381e-05,
41,310,50,1.33390558403e-05,
41,310,51,1.4284453755e-05,
41,310,52,1.58899729286e-05,
41,310,53,1.77974852704e-05,
41,310,54,1.94482181541e-05,
41,310,55,2.15048257814e-05,
41,310,56,2.42245532718e-05,
41,310,57,2.79287050944e-05,
41,310,58,3.36414414051e-05,
41,310,59,3.80690580641e-05,
41,310,60,3.89173437725e-05,
41,310,61,3.84825252695e-05,
41,310,62,3.89077467844e-05,
41,310,63,4.33980785601e-05,
41,315,0,4.56253656012e-05,
41,315,1,5.13208542543e-05,
41,315,2,4.35997499153e-05,
41,315,3,3.96749092033e-05,
41,315,4,3.69537192455e-05,
41,315,5,3.43996398442e-05,
41,315,6,3.20495346386e-05,
41,315,7,2.97198203043e-05,
41,315,8,2.77868475678e-05,
41,315,9,2.57531883108e-05,
41,315,10,2.34382478084e-05,
41,315,11,2.13875991903e-05,
41,315,12,1.94903914235e-05,
41,315,13,1.79515845957e-05,
41,315,14,1.66577810887e-05,
41,315,15,1.54689751071e-05,
41,315,16,1.44728292071e-05,
41,315,17,1.36083626785e-05,
41,315,18,1.26999411805e-05,
41,315,19,1.18177631521e-05,
41,315,20,1.11370363811e-05,
41,315,21,1.05675362647e-05,
41,315,22,9.93188677967e-06,
41,315,23,9.27150085772e-06,
41,315,24,8.81441610545e-06,
41,315,25,8.4740049715e-06,
41,315,26,8.25188635645e-06,
41,315,27,8.07620654086e-06,
41,315,28,7.91862385086e-06,
41,315,29,7.83271480032e-06,
41,315,30,7.74077761889e-06,
41,315,31,7.57101224735e-06,
41,315,32,7.46610521674e-06,
41,315,33,7.5291536632e-06,
41,315,34,7.71636769059e-06,
41,315,35,8.03050807008e-06,
41,315,36,8.52057110023e-06,
41,315,37,9.09314712771e-06,
41,315,38,9.50507910602e-06,
41,315,39,9.87867497315e-06,
41,315,40,1.04134787762e-05,
41,315,41,1.09092834464e-05,
41,315,42,1.14377080536e-05,
41,315,43,1.2032437553e-05,
41,315,44,1.2588181562e-05,
41,315,45,1.32609011416e-05,
41,315,46,1.37824499689e-05,
